From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
Q8TBB5	Q8TBB5	reviewed	KLDC4_HUMAN	Kelch domain-containing protein 4	KLHDC4	Homo sapiens (Human)	520
Q5TAQ9	Q5TAQ9	reviewed	DCAF8_HUMAN	DDB1- and CUL4-associated factor 8 (WD repeat-containing protein 42A)	DCAF8 H326 WDR42A	Homo sapiens (Human)	597
Q8N6G6	Q8N6G6	reviewed	ATL1_HUMAN	ADAMTS-like protein 1 (ADAMTSL-1) (Punctin-1)	ADAMTSL1 ADAMTSR1 C9orf94 UNQ528/PRO1071	Homo sapiens (Human)	1762
P06744	P06744	reviewed	G6PI_HUMAN	Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Autocrine motility factor) (AMF) (Neuroleukin) (NLK) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI) (Sperm antigen 36) (SA-36)	GPI	Homo sapiens (Human)	558
Q13835	Q13835	reviewed	PKP1_HUMAN	Plakophilin-1 (Band 6 protein) (B6P)	PKP1	Homo sapiens (Human)	747
P30411	P30411	reviewed	BKRB2_HUMAN	B2 bradykinin receptor (B2R) (BK-2 receptor)	BDKRB2 BKR2	Homo sapiens (Human)	391
Q9Y6K1	Q9Y6K1	reviewed	DNM3A_HUMAN	DNA (cytosine-5)-methyltransferase 3A (Dnmt3a) (EC 2.1.1.37) (Cysteine methyltransferase DNMT3A) (EC 2.1.1.-) (DNA methyltransferase HsaIIIA) (DNA MTase HsaIIIA) (M.HsaIIIA)	DNMT3A	Homo sapiens (Human)	912
O94888	O94888	reviewed	UBXN7_HUMAN	UBX domain-containing protein 7	UBXN7 KIAA0794 UBXD7	Homo sapiens (Human)	489
P86452	P86452	reviewed	ZBED6_HUMAN	Zinc finger BED domain-containing protein 6	ZBED6	Homo sapiens (Human)	979
Q15059	Q15059	reviewed	BRD3_HUMAN	Bromodomain-containing protein 3 (RING3-like protein)	BRD3 KIAA0043 RING3L	Homo sapiens (Human)	726
O75494	O75494	reviewed	SRS10_HUMAN	Serine/arginine-rich splicing factor 10 (40 kDa SR-repressor protein) (SRrp40) (FUS-interacting serine-arginine-rich protein 1) (Splicing factor SRp38) (Splicing factor, arginine/serine-rich 13A) (TLS-associated protein with Ser-Arg repeats) (TASR) (TLS-associated protein with SR repeats) (TLS-associated serine-arginine protein) (TLS-associated SR protein)	SRSF10 FUSIP1 FUSIP2 SFRS13A TASR	Homo sapiens (Human)	262
Q9BXW6	Q9BXW6	reviewed	OSBL1_HUMAN	Oxysterol-binding protein-related protein 1 (ORP-1) (OSBP-related protein 1)	OSBPL1A ORP1 OSBP8 OSBPL1 OSBPL1B	Homo sapiens (Human)	950
O43909	O43909	reviewed	EXTL3_HUMAN	Exostosin-like 3 (EC 2.4.1.223) (EXT-related protein 1) (Glucuronyl-galactosyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase) (Hereditary multiple exostoses gene isolog) (Multiple exostosis-like protein 3) (Putative tumor suppressor protein EXTL3)	EXTL3 EXTL1L EXTR1 KIAA0519	Homo sapiens (Human)	919
Q96L93	Q96L93	reviewed	KI16B_HUMAN	Kinesin-like protein KIF16B (Sorting nexin-23)	KIF16B C20orf23 KIAA1590 SNX23	Homo sapiens (Human)	1317
Q9BXB4	Q9BXB4	reviewed	OSB11_HUMAN	Oxysterol-binding protein-related protein 11 (ORP-11) (OSBP-related protein 11)	OSBPL11 ORP11 OSBP12	Homo sapiens (Human)	747
B7ZBB8	B7ZBB8	reviewed	PP13G_HUMAN	Protein phosphatase 1 regulatory subunit 3G	PPP1R3G	Homo sapiens (Human)	358
Q9BRK0	Q9BRK0	reviewed	REEP2_HUMAN	Receptor expression-enhancing protein 2	REEP2 C5orf19 SGC32445	Homo sapiens (Human)	252
Q9H902	Q9H902	reviewed	REEP1_HUMAN	Receptor expression-enhancing protein 1 (Spastic paraplegia 31 protein)	REEP1 C2orf23 SPG31	Homo sapiens (Human)	201
A3KN83	A3KN83	reviewed	SBNO1_HUMAN	Protein strawberry notch homolog 1 (Monocyte protein 3) (MOP-3)	SBNO1 MOP3	Homo sapiens (Human)	1393
Q9Y580	Q9Y580	reviewed	RBM7_HUMAN	RNA-binding protein 7 (RNA-binding motif protein 7)	RBM7	Homo sapiens (Human)	266
Q96EQ0	Q96EQ0	reviewed	SGTB_HUMAN	Small glutamine-rich tetratricopeptide repeat-containing protein beta (Beta-SGT) (Small glutamine-rich protein with tetratricopeptide repeats 2)	SGTB SGT2	Homo sapiens (Human)	304
Q96AG3	Q96AG3	reviewed	S2546_HUMAN	Mitochondrial outer membrane protein SLC25A46 (Solute carrier family 25 member 46)	SLC25A46 TB1	Homo sapiens (Human)	418
Q8N3C7	Q8N3C7	reviewed	CLIP4_HUMAN	CAP-Gly domain-containing linker protein 4 (Restin-like protein 2)	CLIP4 RSNL2	Homo sapiens (Human)	705
Q8N2U9	Q8N2U9	reviewed	S66A2_HUMAN	Solute carrier family 66 member 2 (PQ-loop repeat-containing protein 1)	SLC66A2 PQLC1	Homo sapiens (Human)	271
Q13158	Q13158	reviewed	FADD_HUMAN	FAS-associated death domain protein (FAS-associating death domain-containing protein) (Growth-inhibiting gene 3 protein) (Mediator of receptor induced toxicity)	FADD MORT1 GIG3	Homo sapiens (Human)	208
O43823	O43823	reviewed	AKAP8_HUMAN	A-kinase anchor protein 8 (AKAP-8) (A-kinase anchor protein 95 kDa) (AKAP 95)	AKAP8 AKAP95	Homo sapiens (Human)	692
P57740	P57740	reviewed	NU107_HUMAN	Nuclear pore complex protein Nup107 (107 kDa nucleoporin) (Nucleoporin Nup107)	NUP107	Homo sapiens (Human)	925
Q8WV41	Q8WV41	reviewed	SNX33_HUMAN	Sorting nexin-33 (SH3 and PX domain-containing protein 3)	SNX33 SH3PX3 SH3PXD3C SNX30	Homo sapiens (Human)	574
Q9BYC5	Q9BYC5	reviewed	FUT8_HUMAN	Alpha-(1,6)-fucosyltransferase (Alpha1-6FucT) (EC 2.4.1.68) (Fucosyltransferase 8) (GDP-L-Fuc:N-acetyl-beta-D-glucosaminide alpha1,6-fucosyltransferase) (GDP-fucose--glycoprotein fucosyltransferase) (Glycoprotein 6-alpha-L-fucosyltransferase)	FUT8	Homo sapiens (Human)	575
Q10570	Q10570	reviewed	CPSF1_HUMAN	Cleavage and polyadenylation specificity factor subunit 1 (Cleavage and polyadenylation specificity factor 160 kDa subunit) (CPSF 160 kDa subunit)	CPSF1 CPSF160	Homo sapiens (Human)	1443
Q01518	Q01518	reviewed	CAP1_HUMAN	Adenylyl cyclase-associated protein 1 (CAP 1)	CAP1 CAP	Homo sapiens (Human)	475
Q10471	Q10471	reviewed	GALT2_HUMAN	Polypeptide N-acetylgalactosaminyltransferase 2 (EC 2.4.1.41) (Polypeptide GalNAc transferase 2) (GalNAc-T2) (pp-GaNTase 2) (Protein-UDP acetylgalactosaminyltransferase 2) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 2) [Cleaved into: Polypeptide N-acetylgalactosaminyltransferase 2 soluble form]	GALNT2	Homo sapiens (Human)	571
Q92685	Q92685	reviewed	ALG3_HUMAN	Dol-P-Man:Man(5)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase (EC 2.4.1.258) (Asparagine-linked glycosylation protein 3 homolog) (Dol-P-Man-dependent alpha(1-3)-mannosyltransferase) (Dolichyl-P-Man:Man(5)GlcNAc(2)-PP-dolichyl mannosyltransferase) (Dolichyl-phosphate-mannose--glycolipid alpha-mannosyltransferase) (Not56-like protein)	ALG3 NOT NOT56L	Homo sapiens (Human)	438
Q96FS4	Q96FS4	reviewed	SIPA1_HUMAN	Signal-induced proliferation-associated protein 1 (Sipa-1) (GTPase-activating protein Spa-1) (p130 SPA-1)	SIPA1 SPA1	Homo sapiens (Human)	1042
Q07666	Q07666	reviewed	KHDR1_HUMAN	KH domain-containing, RNA-binding, signal transduction-associated protein 1 (GAP-associated tyrosine phosphoprotein p62) (Src-associated in mitosis 68 kDa protein) (Sam68) (p21 Ras GTPase-activating protein-associated p62) (p68)	KHDRBS1 SAM68	Homo sapiens (Human)	443
Q2M1P5	Q2M1P5	reviewed	KIF7_HUMAN	Kinesin-like protein KIF7	KIF7 UNQ340/PRO539	Homo sapiens (Human)	1343
P35367	P35367	reviewed	HRH1_HUMAN	Histamine H1 receptor (H1R) (HH1R)	HRH1	Homo sapiens (Human)	487
Q93100	Q93100	reviewed	KPBB_HUMAN	Phosphorylase b kinase regulatory subunit beta (Phosphorylase kinase subunit beta)	PHKB	Homo sapiens (Human)	1093
Q9NVE7	Q9NVE7	reviewed	PANK4_HUMAN	4'-phosphopantetheine phosphatase (EC 3.1.3.-) (Inactive pantothenic acid kinase 4) (hPanK4)	PANK4	Homo sapiens (Human)	773
O60673	O60673	reviewed	REV3L_HUMAN	DNA polymerase zeta catalytic subunit (EC 2.7.7.7) (Protein reversionless 3-like) (REV3-like) (hREV3)	REV3L POLZ REV3	Homo sapiens (Human)	3130
Q9UKT5	Q9UKT5	reviewed	FBX4_HUMAN	F-box only protein 4	FBXO4 FBX4	Homo sapiens (Human)	387
Q12756	Q12756	reviewed	KIF1A_HUMAN	Kinesin-like protein KIF1A (Axonal transporter of synaptic vesicles) (Microtubule-based motor KIF1A) (Unc-104- and KIF1A-related protein) (hUnc-104)	KIF1A ATSV C2orf20	Homo sapiens (Human)	1690
Q14999	Q14999	reviewed	CUL7_HUMAN	Cullin-7 (CUL-7)	CUL7 KIAA0076	Homo sapiens (Human)	1698
Q9Y519	Q9Y519	reviewed	T184B_HUMAN	Transmembrane protein 184B (Putative MAPK-activating protein FM08)	TMEM184B C22orf5 PSEC0108	Homo sapiens (Human)	407
Q9HAH1	Q9HAH1	reviewed	ZN556_HUMAN	Zinc finger protein 556	ZNF556	Homo sapiens (Human)	456
Q86TP1	Q86TP1	reviewed	PRUN1_HUMAN	Exopolyphosphatase PRUNE1 (EC 3.6.1.1) (Drosophila-related expressed sequence 17) (DRES-17) (DRES17) (HTcD37) (Protein prune homolog 1) (hPrune)	PRUNE1 PRUNE	Homo sapiens (Human)	453
Q9GZV5	Q9GZV5	reviewed	WWTR1_HUMAN	WW domain-containing transcription regulator protein 1 (Transcriptional coactivator with PDZ-binding motif)	WWTR1 TAZ	Homo sapiens (Human)	400
Q15173	Q15173	reviewed	2A5B_HUMAN	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit beta isoform (PP2A B subunit isoform B'-beta) (PP2A B subunit isoform B56-beta) (PP2A B subunit isoform PR61-beta) (PP2A B subunit isoform R5-beta)	PPP2R5B	Homo sapiens (Human)	497
Q92597	Q92597	reviewed	NDRG1_HUMAN	Protein NDRG1 (Differentiation-related gene 1 protein) (DRG-1) (N-myc downstream-regulated gene 1 protein) (Nickel-specific induction protein Cap43) (Reducing agents and tunicamycin-responsive protein) (RTP) (Rit42)	NDRG1 CAP43 DRG1 RTP	Homo sapiens (Human)	394
Q9UI47	Q9UI47	reviewed	CTNA3_HUMAN	Catenin alpha-3 (Alpha T-catenin) (Cadherin-associated protein)	CTNNA3	Homo sapiens (Human)	895
O14662	O14662	reviewed	STX16_HUMAN	Syntaxin-16 (Syn16)	STX16	Homo sapiens (Human)	325
Q5FWE3	Q5FWE3	reviewed	PRRT3_HUMAN	Proline-rich transmembrane protein 3	PRRT3 UNQ5823/PRO19642	Homo sapiens (Human)	981
Q9HAZ1	Q9HAZ1	reviewed	CLK4_HUMAN	Dual specificity protein kinase CLK4 (EC 2.7.12.1) (CDC-like kinase 4)	CLK4	Homo sapiens (Human)	481
Q14204	Q14204	reviewed	DYHC1_HUMAN	Cytoplasmic dynein 1 heavy chain 1 (Cytoplasmic dynein heavy chain 1) (Dynein heavy chain, cytosolic)	DYNC1H1 DHC1 DNCH1 DNCL DNECL DYHC KIAA0325	Homo sapiens (Human)	4646
Q5VU43	Q5VU43	reviewed	MYOME_HUMAN	Myomegalin (Cardiomyopathy-associated protein 2) (Phosphodiesterase 4D-interacting protein)	PDE4DIP CMYA2 KIAA0454 KIAA0477 MMGL	Homo sapiens (Human)	2346
Q9Y4D8	Q9Y4D8	reviewed	HECD4_HUMAN	Probable E3 ubiquitin-protein ligase HECTD4 (EC 2.3.2.26) (HECT domain-containing protein 4) (HECT-type E3 ubiquitin transferase HECTD4)	HECTD4 C12orf51 KIAA0614	Homo sapiens (Human)	3996
Q13243	Q13243	reviewed	SRSF5_HUMAN	Serine/arginine-rich splicing factor 5 (Delayed-early protein HRS) (Pre-mRNA-splicing factor SRP40) (Splicing factor, arginine/serine-rich 5)	SRSF5 HRS SFRS5 SRP40	Homo sapiens (Human)	272
Q8NAP3	Q8NAP3	reviewed	ZBT38_HUMAN	Zinc finger and BTB domain-containing protein 38	ZBTB38	Homo sapiens (Human)	1195
Q63HQ0	Q63HQ0	reviewed	AP1AR_HUMAN	AP-1 complex-associated regulatory protein (2c18) (Adaptor-related protein complex 1-associated regulatory protein) (Gamma-1-adaptin brefeldin A resistance protein) (GBAR) (Gamma-BAR) (Gamma-A1-adaptin and kinesin interactor) (Gadkin)	AP1AR C4orf16 PRO0971	Homo sapiens (Human)	302
P17026	P17026	reviewed	ZNF22_HUMAN	Zinc finger protein 22 (Zinc finger protein KOX15) (Zinc finger protein Krox-26)	ZNF22 KOX15 KROX26	Homo sapiens (Human)	224
Q9P107	Q9P107	reviewed	GMIP_HUMAN	GEM-interacting protein (GMIP)	GMIP	Homo sapiens (Human)	970
Q9Y561	Q9Y561	reviewed	LRP12_HUMAN	Low-density lipoprotein receptor-related protein 12 (LDLR-related protein 12) (LRP-12) (Suppressor of tumorigenicity 7 protein)	LRP12 ST7	Homo sapiens (Human)	859
Q9UJ70	Q9UJ70	reviewed	NAGK_HUMAN	N-acetyl-D-glucosamine kinase (N-acetylglucosamine kinase) (EC 2.7.1.59) (GlcNAc kinase)	NAGK	Homo sapiens (Human)	344
Q92844	Q92844	reviewed	TANK_HUMAN	TRAF family member-associated NF-kappa-B activator (TRAF-interacting protein) (I-TRAF)	TANK ITRAF TRAF2	Homo sapiens (Human)	425
Q53GT1	Q53GT1	reviewed	KLH22_HUMAN	Kelch-like protein 22	KLHL22	Homo sapiens (Human)	634
Q8IUW5	Q8IUW5	reviewed	RELL1_HUMAN	RELT-like protein 1	RELL1 PSEC0162	Homo sapiens (Human)	271
O43353	O43353	reviewed	RIPK2_HUMAN	Receptor-interacting serine/threonine-protein kinase 2 (EC 2.7.11.1) (CARD-containing interleukin-1 beta-converting enzyme-associated kinase) (CARD-containing IL-1 beta ICE-kinase) (RIP-like-interacting CLARP kinase) (Receptor-interacting protein 2) (RIP-2) (Tyrosine-protein kinase RIPK2) (EC 2.7.10.2)	RIPK2 CARDIAK RICK RIP2 UNQ277/PRO314/PRO34092	Homo sapiens (Human)	540
Q15569	Q15569	reviewed	TESK1_HUMAN	Dual specificity testis-specific protein kinase 1 (EC 2.7.12.1) (Testicular protein kinase 1)	TESK1	Homo sapiens (Human)	626
Q13393	Q13393	reviewed	PLD1_HUMAN	Phospholipase D1 (PLD 1) (hPLD1) (EC 3.1.4.4) (Choline phosphatase 1) (Phosphatidylcholine-hydrolyzing phospholipase D1)	PLD1	Homo sapiens (Human)	1074
O95831	O95831	reviewed	AIFM1_HUMAN	Apoptosis-inducing factor 1, mitochondrial (EC 1.6.99.-) (Programmed cell death protein 8)	AIFM1 AIF PDCD8	Homo sapiens (Human)	613
O95544	O95544	reviewed	NADK_HUMAN	NAD kinase (EC 2.7.1.23) (Poly(P)/ATP NAD kinase)	NADK	Homo sapiens (Human)	446
Q6ZSZ5	Q6ZSZ5	reviewed	ARHGI_HUMAN	Rho guanine nucleotide exchange factor 18 (114 kDa Rho-specific guanine nucleotide exchange factor) (p114-Rho-GEF) (p114RhoGEF) (Septin-associated RhoGEF) (SA-RhoGEF)	ARHGEF18 KIAA0521	Homo sapiens (Human)	1361
Q96EN8	Q96EN8	reviewed	MOCOS_HUMAN	Molybdenum cofactor sulfurase (MCS) (MOS) (MoCo sulfurase) (hMCS) (EC 2.8.1.9) (Molybdenum cofactor sulfurtransferase)	MOCOS	Homo sapiens (Human)	888
Q4V328	Q4V328	reviewed	GRAP1_HUMAN	GRIP1-associated protein 1 (GRASP-1) [Cleaved into: GRASP-1 C-terminal chain (30kDa C-terminus form)]	GRIPAP1 KIAA1167	Homo sapiens (Human)	841
Q9H1H9	Q9H1H9	reviewed	KI13A_HUMAN	Kinesin-like protein KIF13A (Kinesin-like protein RBKIN)	KIF13A RBKIN	Homo sapiens (Human)	1805
P26045	P26045	reviewed	PTN3_HUMAN	Tyrosine-protein phosphatase non-receptor type 3 (EC 3.1.3.48) (Protein-tyrosine phosphatase H1) (PTP-H1)	PTPN3 PTPH1	Homo sapiens (Human)	913
Q14596	Q14596	reviewed	NBR1_HUMAN	Next to BRCA1 gene 1 protein (Cell migration-inducing gene 19 protein) (Membrane component chromosome 17 surface marker 2) (Neighbor of BRCA1 gene 1 protein) (Protein 1A1-3B)	NBR1 1A13B KIAA0049 M17S2 MIG19	Homo sapiens (Human)	966
Q9H2U2	Q9H2U2	reviewed	IPYR2_HUMAN	Inorganic pyrophosphatase 2, mitochondrial (EC 3.6.1.1) (Pyrophosphatase SID6-306) (Pyrophosphate phospho-hydrolase 2) (PPase 2)	PPA2 HSPC124	Homo sapiens (Human)	334
O76041	O76041	reviewed	NEBL_HUMAN	Nebulette (Actin-binding Z-disk protein)	NEBL C10orf113 LNEBL	Homo sapiens (Human)	1014
Q9Y4F3	Q9Y4F3	reviewed	MARF1_HUMAN	Meiosis regulator and mRNA stability factor 1 (Limkain-b1) (Meiosis arrest female protein 1)	MARF1 KIAA0430 LKAP	Homo sapiens (Human)	1742
O15273	O15273	reviewed	TELT_HUMAN	Telethonin (Titin cap protein)	TCAP	Homo sapiens (Human)	167
Q13330	Q13330	reviewed	MTA1_HUMAN	Metastasis-associated protein MTA1	MTA1	Homo sapiens (Human)	715
Q68BL7	Q68BL7	reviewed	OLM2A_HUMAN	Olfactomedin-like protein 2A (Photomedin-1)	OLFML2A UNQ9394/PRO34319	Homo sapiens (Human)	652
Q96Q40	Q96Q40	reviewed	CDK15_HUMAN	Cyclin-dependent kinase 15 (EC 2.7.11.22) (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 7 protein) (Cell division protein kinase 15) (Serine/threonine-protein kinase ALS2CR7) (Serine/threonine-protein kinase PFTAIRE-2)	CDK15 ALS2CR7 PFTK2	Homo sapiens (Human)	435
O95999	O95999	reviewed	BCL10_HUMAN	B-cell lymphoma/leukemia 10 (B-cell CLL/lymphoma 10) (Bcl-10) (CARD-containing molecule enhancing NF-kappa-B) (CARD-like apoptotic protein) (hCLAP) (CED-3/ICH-1 prodomain homologous E10-like regulator) (CIPER) (Cellular homolog of vCARMEN) (cCARMEN) (Cellular-E10) (c-E10) (Mammalian CARD-containing adapter molecule E10) (mE10)	BCL10 CIPER CLAP	Homo sapiens (Human)	233
O95835	O95835	reviewed	LATS1_HUMAN	Serine/threonine-protein kinase LATS1 (EC 2.7.11.1) (Large tumor suppressor homolog 1) (WARTS protein kinase) (h-warts)	LATS1 WARTS	Homo sapiens (Human)	1130
Q6PH81	Q6PH81	reviewed	CP087_HUMAN	UPF0547 protein C16orf87	C16orf87	Homo sapiens (Human)	154
Q68DA7	Q68DA7	reviewed	FMN1_HUMAN	Formin-1 (Limb deformity protein homolog)	FMN1 FMN LD	Homo sapiens (Human)	1419
Q9BZ72	Q9BZ72	reviewed	PITM2_HUMAN	Membrane-associated phosphatidylinositol transfer protein 2 (Phosphatidylinositol transfer protein, membrane-associated 2) (PITPnm 2) (Pyk2 N-terminal domain-interacting receptor 3) (NIR-3)	PITPNM2 KIAA1457 NIR3	Homo sapiens (Human)	1349
O15061	O15061	reviewed	SYNEM_HUMAN	Synemin (Desmuslin)	SYNM DMN KIAA0353 SYN	Homo sapiens (Human)	1565
O15169	O15169	reviewed	AXIN1_HUMAN	Axin-1 (Axis inhibition protein 1) (hAxin)	AXIN1 AXIN	Homo sapiens (Human)	862
Q96N64	Q96N64	reviewed	PWP2A_HUMAN	PWWP domain-containing protein 2A	PWWP2A KIAA1935 MST101	Homo sapiens (Human)	755
P33241	P33241	reviewed	LSP1_HUMAN	Lymphocyte-specific protein 1 (47 kDa actin-binding protein) (52 kDa phosphoprotein) (pp52) (Lymphocyte-specific antigen WP34)	LSP1 WP34	Homo sapiens (Human)	339
P53667	P53667	reviewed	LIMK1_HUMAN	LIM domain kinase 1 (LIMK-1) (EC 2.7.11.1)	LIMK1 LIMK	Homo sapiens (Human)	647
Q99973	Q99973	reviewed	TEP1_HUMAN	Telomerase protein component 1 (Telomerase-associated protein 1) (Telomerase protein 1) (p240) (p80 telomerase homolog)	TEP1 TLP1 TP1	Homo sapiens (Human)	2627
Q9H0F6	Q9H0F6	reviewed	SHRPN_HUMAN	Sharpin (Shank-associated RH domain-interacting protein) (Shank-interacting protein-like 1) (hSIPL1)	SHARPIN SIPL1 PSEC0216	Homo sapiens (Human)	387
Q5T011	Q5T011	reviewed	SZT2_HUMAN	KICSTOR complex protein SZT2 (Seizure threshold 2 protein homolog)	SZT2 C1orf84 KIAA0467	Homo sapiens (Human)	3432
P10075	P10075	reviewed	GLI4_HUMAN	Zinc finger protein GLI4 (Krueppel-related zinc finger protein 4) (Protein HKR4)	GLI4 HKR4	Homo sapiens (Human)	376
P41212	P41212	reviewed	ETV6_HUMAN	Transcription factor ETV6 (ETS translocation variant 6) (ETS-related protein Tel1) (Tel)	ETV6 TEL TEL1	Homo sapiens (Human)	452
Q96B54	Q96B54	reviewed	ZN428_HUMAN	Zinc finger protein 428 (Enzyme-like protein PIT13)	ZNF428 C19orf37	Homo sapiens (Human)	188
Q8N4L2	Q8N4L2	reviewed	PP4P2_HUMAN	Type 2 phosphatidylinositol 4,5-bisphosphate 4-phosphatase (Type 2 PtdIns-4,5-P2 4-Ptase) (EC 3.1.3.78) (PtdIns-4,5-P2 4-Ptase II) (Transmembrane protein 55A)	PIP4P2 TMEM55A	Homo sapiens (Human)	257
Q5T7W0	Q5T7W0	reviewed	ZN618_HUMAN	Zinc finger protein 618	ZNF618 KIAA1952	Homo sapiens (Human)	954
Q58EX2	Q58EX2	reviewed	SDK2_HUMAN	Protein sidekick-2	SDK2 KIAA1514	Homo sapiens (Human)	2172
C9JLW8	C9JLW8	reviewed	MCRI1_HUMAN	Mapk-regulated corepressor-interacting protein 1 (Granulin-2) (Protein FAM195B)	MCRIP1 FAM195B GRAN2	Homo sapiens (Human)	97
O75955	O75955	reviewed	FLOT1_HUMAN	Flotillin-1	FLOT1	Homo sapiens (Human)	427
Q99638	Q99638	reviewed	RAD9A_HUMAN	Cell cycle checkpoint control protein RAD9A (hRAD9) (EC 3.1.11.2) (DNA repair exonuclease rad9 homolog A)	RAD9A	Homo sapiens (Human)	391
Q9H6Z4	Q9H6Z4	reviewed	RANB3_HUMAN	Ran-binding protein 3 (RanBP3)	RANBP3	Homo sapiens (Human)	567
P49761	P49761	reviewed	CLK3_HUMAN	Dual specificity protein kinase CLK3 (EC 2.7.12.1) (CDC-like kinase 3)	CLK3	Homo sapiens (Human)	638
O96018	O96018	reviewed	APBA3_HUMAN	Amyloid-beta A4 precursor protein-binding family A member 3 (Adapter protein X11gamma) (Neuron-specific X11L2 protein) (Neuronal Munc18-1-interacting protein 3) (Mint-3)	APBA3 MINT3 X11L2	Homo sapiens (Human)	575
Q14653	Q14653	reviewed	IRF3_HUMAN	Interferon regulatory factor 3 (IRF-3)	IRF3	Homo sapiens (Human)	427
Q86YT6	Q86YT6	reviewed	MIB1_HUMAN	E3 ubiquitin-protein ligase MIB1 (EC 2.3.2.27) (DAPK-interacting protein 1) (DIP-1) (Mind bomb homolog 1) (RING-type E3 ubiquitin transferase MIB1) (Zinc finger ZZ type with ankyrin repeat domain protein 2)	MIB1 DIP1 KIAA1323 ZZANK2	Homo sapiens (Human)	1006
Q9NQB0	Q9NQB0	reviewed	TF7L2_HUMAN	Transcription factor 7-like 2 (HMG box transcription factor 4) (T-cell-specific transcription factor 4) (T-cell factor 4) (TCF-4) (hTCF-4)	TCF7L2 TCF4	Homo sapiens (Human)	619
Q15637	Q15637	reviewed	SF01_HUMAN	Splicing factor 1 (Mammalian branch point-binding protein) (BBP) (mBBP) (Transcription factor ZFM1) (Zinc finger gene in MEN1 locus) (Zinc finger protein 162)	SF1 ZFM1 ZNF162	Homo sapiens (Human)	639
Q8N5C8	Q8N5C8	reviewed	TAB3_HUMAN	TGF-beta-activated kinase 1 and MAP3K7-binding protein 3 (Mitogen-activated protein kinase kinase kinase 7-interacting protein 3) (NF-kappa-B-activating protein 1) (TAK1-binding protein 3) (TAB-3) (TGF-beta-activated kinase 1-binding protein 3)	TAB3 MAP3K7IP3	Homo sapiens (Human)	712
Q8WXE0	Q8WXE0	reviewed	CSKI2_HUMAN	Caskin-2 (CASK-interacting protein 2)	CASKIN2 KIAA1139	Homo sapiens (Human)	1202
Q9NR82	Q9NR82	reviewed	KCNQ5_HUMAN	Potassium voltage-gated channel subfamily KQT member 5 (KQT-like 5) (Potassium channel subunit alpha KvLQT5) (Voltage-gated potassium channel subunit Kv7.5)	KCNQ5	Homo sapiens (Human)	932
Q96HA9	Q96HA9	reviewed	PX11C_HUMAN	Peroxisomal membrane protein 11C (Peroxin-11C) (Peroxisomal biogenesis factor 11C) (Protein PEX11 homolog gamma) (PEX11-gamma)	PEX11G PEX11C	Homo sapiens (Human)	241
Q14106	Q14106	reviewed	TOB2_HUMAN	Protein Tob2 (Protein Tob4) (Transducer of erbB-2 2)	TOB2 KIAA1663 TOB4 TROB2	Homo sapiens (Human)	344
O60583	O60583	reviewed	CCNT2_HUMAN	Cyclin-T2 (CycT2)	CCNT2	Homo sapiens (Human)	730
P55197	P55197	reviewed	AF10_HUMAN	Protein AF-10 (ALL1-fused gene from chromosome 10 protein)	MLLT10 AF10	Homo sapiens (Human)	1068
Q13829	Q13829	reviewed	BACD2_HUMAN	BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 2 (hBACURD2) (BTB/POZ domain-containing protein TNFAIP1) (Protein B12) (Tumor necrosis factor, alpha-induced protein 1, endothelial)	TNFAIP1 BACURD2 EDP1	Homo sapiens (Human)	316
Q9HD42	Q9HD42	reviewed	CHM1A_HUMAN	Charged multivesicular body protein 1a (Chromatin-modifying protein 1a) (CHMP1a) (Vacuolar protein sorting-associated protein 46-1) (Vps46-1) (hVps46-1)	CHMP1A CHMP1 KIAA0047 PCOLN3 PRSM1	Homo sapiens (Human)	196
Q12979	Q12979	reviewed	ABR_HUMAN	Active breakpoint cluster region-related protein	ABR	Homo sapiens (Human)	859
Q15172	Q15172	reviewed	2A5A_HUMAN	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit alpha isoform (PP2A B subunit isoform B'-alpha) (PP2A B subunit isoform B56-alpha) (PP2A B subunit isoform PR61-alpha) (PR61alpha) (PP2A B subunit isoform R5-alpha)	PPP2R5A	Homo sapiens (Human)	486
P20794	P20794	reviewed	MAK_HUMAN	Serine/threonine-protein kinase MAK (EC 2.7.11.1) (Male germ cell-associated kinase)	MAK	Homo sapiens (Human)	623
O43933	O43933	reviewed	PEX1_HUMAN	Peroxisome biogenesis factor 1 (Peroxin-1) (Peroxisome biogenesis disorder protein 1)	PEX1	Homo sapiens (Human)	1283
Q14011	Q14011	reviewed	CIRBP_HUMAN	Cold-inducible RNA-binding protein (A18 hnRNP) (Glycine-rich RNA-binding protein CIRP)	CIRBP A18HNRNP CIRP	Homo sapiens (Human)	172
